,Topic,Count,region,topic_names,topics
0,-1,3223,Europe,"['service', 'multiservice', 'white', 'juridique', 'conseilleir', 'analytic', 'celan', 'integral', 'juridic', 'multiservicio']","[('service', 0.03061470786960324), ('multiservice', 0.01959676224184623), ('white', 0.012577627637021615), ('juridique', 0.012577627637021615), ('conseilleir', 0.012577627637021615), ('analytic', 0.012577627637021615), ('celan', 0.012577627637021615), ('integral', 0.012577627637021615), ('juridic', 0.012577627637021615), ('multiservicio', 0.012577627637021615)]"
1,0,347,Europe,"['sweet', 'wellbe', 'wiem', 'stop', 'edit', 'benefit', 'fine', 'stuff', 'different', 'good']","[('sweet', 0.4919777367521248), ('wellbe', 0.3503767698884592), ('wiem', 0.3503767698884592), ('stop', 0.2729549026542868), ('edit', 0.2729549026542868), ('benefit', 0.2729549026542868), ('fine', 0.2529256660026653), ('stuff', 0.20545610828010175), ('different', 0.09982813688384455), ('good', 0.0973550131047578)]"
2,1,228,Europe,"['know', 'knowi', 'opinion', 'everyonei', 'right', 'sure', 'kind', 'good', '', '']","[('know', 0.42401504041051646), ('knowi', 0.09999628423432537), ('opinion', 0.025953834806552535), ('everyonei', 0.025953834806552535), ('right', 0.017592783178288843), ('sure', 0.01666604737238756), ('kind', 0.007988932894640567), ('good', 0.002403827484068094), ('', 1e-05), ('', 1e-05)]"
3,2,177,Europe,"['domain', 'entity', 'legal', 'auto', 'provider', 'product', 'client', 'woodwork', 'individual', 'answer']","[('domain', 0.0317078678766008), ('entity', 0.03110918791768016), ('legal', 0.025562537590952603), ('auto', 0.019158153338793893), ('provider', 0.019087961255884325), ('product', 0.011623094967576563), ('client', 0.011170181686850592), ('woodwork', 0.009267644915156201), ('individual', 0.008645732574093155), ('answer', 0.007548916433808785)]"
4,3,158,Europe,"['fruit', 'vegetable', 'berry', 'strawberry', 'raspberry', 'greenhouse', 'grow', 'cultivation', 'pepper', 'apple']","[('fruit', 0.08908942455573275), ('vegetable', 0.07983356189252123), ('berry', 0.03819658628845984), ('strawberry', 0.03500299483703353), ('raspberry', 0.03439474791745997), ('greenhouse', 0.03183048857371653), ('grow', 0.02508864084905067), ('cultivation', 0.02492256965751072), ('pepper', 0.024802227979379917), ('apple', 0.023644486152148463)]"
5,4,141,Europe,"['refuse', 'refusal', 'decline', 'decide', 'spitex', 'commence', 'rejection', 'refuserd', 'indicate', 'important']","[('refuse', 0.5240972147610583), ('refusal', 0.058701745222886216), ('decline', 0.05199141002938796), ('decide', 0.033995917985310695), ('spitex', 0.033369216179853264), ('commence', 0.033369216179853264), ('rejection', 0.033369216179853264), ('refuserd', 0.033369216179853264), ('indicate', 0.028704134048817054), ('important', 0.028704134048817054)]"
6,5,141,Europe,"['agriculture', 'agrarian', 'agricultural', 'decide', 'slavonia', 'precisely', 'grown', 'loonbouw', 'connection', 'didn']","[('agriculture', 0.22468507863036696), ('agrarian', 0.06808013055435325), ('agricultural', 0.038990534716198025), ('decide', 0.029570413868879715), ('slavonia', 0.029025294546972957), ('precisely', 0.029025294546972957), ('grown', 0.029025294546972957), ('loonbouw', 0.029025294546972957), ('connection', 0.024967501214059804), ('didn', 0.024967501214059804)]"
7,6,137,Europe,"['restaurant', 'italy', 'kitchen', 'room', '', '', '', '', '', '']","[('restaurant', 0.29028476688364274), ('italy', 0.032942833078965644), ('kitchen', 0.01723191964823986), ('room', 0.011359188402851675), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
8,7,114,Europe,"['construction', 'remodellne', 'pallet', 'scaffold', '', '', '', '', '', '']","[('construction', 0.15258483419360577), ('remodellne', 0.04459340707671299), ('pallet', 0.03022760018815083), ('scaffold', 0.028635299576193176), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
9,8,107,Europe,"['metal', 'steel', 'plastic', 'aluminum', 'iron', 'metallic', 'metalworking', 'metalwork', 'mill', 'structure']","[('metal', 0.15719028781660196), ('steel', 0.07669318470536204), ('plastic', 0.05848595165119612), ('aluminum', 0.044124103726321674), ('iron', 0.041545610694422974), ('metallic', 0.03571372558093472), ('metalworking', 0.03571372558093472), ('metalwork', 0.03309307779474125), ('mill', 0.031075102997164403), ('structure', 0.029438158442815412)]"
0,-1,1597,Africa,"['trade', 'bressem', 'talk', 'sure', 'scrap', 'baby', 'miscellaneous', 'item', 'good', '']","[('trade', 0.12563219644723642), ('bressem', 0.028863961470688846), ('talk', 0.02238125519930161), ('sure', 0.02238125519930161), ('scrap', 0.02238125519930161), ('baby', 0.02238125519930161), ('miscellaneous', 0.010454190227089684), ('item', 0.006546236167863672), ('good', 0.0036221948929077), ('', 1e-05)]"
1,0,161,Africa,"['chicken', 'poultry', 'broiler', 'meat', 'rear', 'layer', 'include', 'produce', 'live', 'poul']","[('chicken', 0.0502912181572208), ('poultry', 0.04289871426460884), ('broiler', 0.038871668232177935), ('meat', 0.027647842766267982), ('rear', 0.024429485747163544), ('layer', 0.019517741921522096), ('include', 0.01567676843638457), ('produce', 0.014994189164368885), ('live', 0.014008939770163946), ('poul', 0.013317112654216277)]"
2,1,133,Africa,"['restaurant', 'pastery', 'diner', 'eatery', 'foul', 'grill', 'leissure', 'shisa', 'pizzeria', 'waiter']","[('restaurant', 0.265673154335372), ('pastery', 0.15975747322978945), ('diner', 0.08009292039178646), ('eatery', 0.05907380795346223), ('foul', 0.05907380795346223), ('grill', 0.04382932764476596), ('leissure', 0.03443058261146455), ('shisa', 0.03443058261146455), ('pizzeria', 0.03443058261146455), ('waiter', 0.03443058261146455)]"
3,2,119,Africa,"['shoe', 'footware', 'footwear', 'second', 'hand', 'clothing', 'boutique', 'clothe', 'maker', 'shoemaker']","[('shoe', 0.1244781171377857), ('footware', 0.0452406299864984), ('footwear', 0.030699719833249567), ('second', 0.023615169102499667), ('hand', 0.02042412871027523), ('clothing', 0.02018649549152629), ('boutique', 0.01737676249153639), ('clothe', 0.016552134489883335), ('maker', 0.01595051465883123), ('shoemaker', 0.014458624324273972)]"
4,3,109,Africa,"['catering', 'cater', 'cook', 'prepare', 'function', 'preapare', 'lunch', 'tswana', 'food', 'cooking']","[('catering', 0.0881589911827603), ('cater', 0.04082505028599977), ('cook', 0.03474705222069865), ('prepare', 0.027338940913893293), ('function', 0.017287717759764905), ('preapare', 0.016587291205399566), ('lunch', 0.016414226953069485), ('tswana', 0.01439020274327892), ('food', 0.014024065665760064), ('cooking', 0.013891748688014882)]"
5,4,107,Africa,"['tuckshop', 'tuck', 'airtime', 'sweet', 'fatcake', 'grocery', 'small', 'toiletry', 'item', 'community']","[('tuckshop', 0.09236708391717777), ('tuck', 0.053876893973207385), ('airtime', 0.03649014926474873), ('sweet', 0.034767899065785174), ('fatcake', 0.023056659574597346), ('grocery', 0.02231917550809946), ('small', 0.02198979663448314), ('toiletry', 0.0199224216567118), ('item', 0.017037217247271166), ('community', 0.015527274382561424)]"
6,5,104,Africa,"['know', 'hurry', 'bfaa', 'perfum', 'good', 'fast', '', '', '', '']","[('know', 0.8951924484167171), ('hurry', 0.5355868406227818), ('bfaa', 0.5355868406227818), ('perfum', 0.3842103028154112), ('good', 0.13442367713679687), ('fast', 0.07886824811612855), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
7,6,101,Africa,"['breeding', 'rabbit', 'port', 'mongoose', 'scheep', 'space', 'layer', 'creation', 'training', 'culture']","[('breeding', 0.2744751435348858), ('rabbit', 0.060664784655064925), ('port', 0.04228317162811436), ('mongoose', 0.04228317162811436), ('scheep', 0.03627339084861716), ('space', 0.020593908142758903), ('layer', 0.020593908142758903), ('creation', 0.020593908142758903), ('training', 0.01589805926693676), ('culture', 0.007973996149061255)]"
8,7,98,Africa,"['mobile', 'fast', 'activity', 'restaurant', 'food', 'service', 'franchise', 'fastfood', 'macdonald', 'indoor']","[('mobile', 0.09602667553092106), ('fast', 0.09350846183828417), ('activity', 0.06298492764079057), ('restaurant', 0.052896002285336044), ('food', 0.035677157738683844), ('service', 0.030565312402205305), ('franchise', 0.010352972231552997), ('fastfood', 0.0072159903676722115), ('macdonald', 0.0072159903676722115), ('indoor', 0.0072159903676722115)]"
9,8,98,Africa,"['root', 'melon', 'tuber', 'grow', 'rice', 'vegetable', '', '', '', '']","[('root', 0.12024562950982083), ('melon', 0.11938548637878214), ('tuber', 0.11853824557304965), ('grow', 0.09744329270619763), ('rice', 0.06964389685841336), ('vegetable', 0.04613302248931694), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
0,-1,1874,Latin America & Caribbean,"['grocery', 'store', 'statonary', 'tobbaconist', 'mall', 'care', 'green', 'home', 'small', 'shop']","[('grocery', 0.07224423878266807), ('store', 0.03402225146339128), ('statonary', 0.003990331606395609), ('tobbaconist', 0.003096879517534247), ('mall', 0.0028659389795724272), ('care', 0.0018768949071010994), ('green', 0.00167110092443033), ('home', 0.001112102120037745), ('small', 0.00045271938764141953), ('shop', 0.00014310551382998123)]"
1,0,602,Latin America & Caribbean,"['restaurant', 'chinese', 'comida', 'restaurante', 'pierna', 'solo', 'tavern', 'venderemos', 'evening', 'criolla']","[('restaurant', 0.08183459897807015), ('chinese', 0.012903352625827652), ('comida', 0.012211635065239987), ('restaurante', 0.01149460811130936), ('pierna', 0.009576795855349462), ('solo', 0.009576795855349462), ('tavern', 0.009576795855349462), ('venderemos', 0.009576795855349462), ('evening', 0.009576795855349462), ('criolla', 0.009576795855349462)]"
2,1,479,Latin America & Caribbean,"['restaurant', 'food', 'sale', 'gourment', 'gourmet', 'sandwich', 'meal', 'good', 'drink', '']","[('restaurant', 0.029277982865318356), ('food', 0.021198267894223115), ('sale', 0.014267425057413723), ('gourment', 0.0033234907172927505), ('gourmet', 0.0016994505312610444), ('sandwich', 0.0016215967337146195), ('meal', 0.0007077304653572606), ('good', 0.0005854337409001523), ('drink', 0.0003696987428131254), ('', 1e-05)]"
3,2,415,Latin America & Caribbean,"['bakery', 'cafeteria', 'producer', 'sote', 'gathering', 'bakeri', 'arab', 'mushroom', 'ironmongery', 'catering']","[('bakery', 0.19925214211546152), ('cafeteria', 0.02813679684385338), ('producer', 0.013058264394271641), ('sote', 0.012182070294588105), ('gathering', 0.012182070294588105), ('bakeri', 0.012182070294588105), ('arab', 0.010456019914102383), ('mushroom', 0.009454453338165006), ('ironmongery', 0.0037730111499454733), ('catering', 0.002389602371227191)]"
4,3,385,Latin America & Caribbean,"['transport', 'service', 'shutttle', 'transpor', 'tranport', 'translation', 'carrier', 'light', 'cargo', 'special']","[('transport', 0.16128407818766258), ('service', 0.017366503832327296), ('shutttle', 0.011016587487360997), ('transpor', 0.011016587487360997), ('tranport', 0.011016587487360997), ('translation', 0.008549927050686804), ('carrier', 0.007421632205060324), ('light', 0.005728381806236175), ('cargo', 0.00408145664972222), ('special', 0.004007251250098957)]"
5,4,210,Latin America & Caribbean,"['minimarket', 'mini', 'greengrocery', 'small', 'shop', '', '', '', '', '']","[('minimarket', 0.44091853326541836), ('mini', 0.009905007344332917), ('greengrocery', 0.006057458183699817), ('small', 0.0027434794891070024), ('shop', 0.0008672194138096863), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
6,5,197,Latin America & Caribbean,"['construction', 'constructor', 'building', 'expansion', 'tower', 'montoje', 'mecallo', 'handy', 'costruction', 'deep']","[('construction', 0.1435468275024293), ('constructor', 0.03843555468424672), ('building', 0.032888796017202786), ('expansion', 0.02239019401366425), ('tower', 0.02239019401366425), ('montoje', 0.02239019401366425), ('mecallo', 0.02239019401366425), ('handy', 0.02239019401366425), ('costruction', 0.02239019401366425), ('deep', 0.02239019401366425)]"
7,6,190,Latin America & Caribbean,"['clothe', 'sell', 'american', 'institutional', '', '', '', '', '', '']","[('clothe', 0.07493214379815699), ('sell', 0.07037219662771274), ('american', 0.04782793776128323), ('institutional', 0.008950814664894183), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
8,7,180,Latin America & Caribbean,"['construction', 'service', 'crane', 'cabling', 'innovative', 'modern', 'hidraulic', 'structure', 'building', 'study']","[('construction', 0.0804493209079549), ('service', 0.01774875068916582), ('crane', 0.01343411640819855), ('cabling', 0.01343411640819855), ('innovative', 0.010426161042365299), ('modern', 0.009648661231227172), ('hidraulic', 0.009050268161170784), ('structure', 0.0071227254643882664), ('building', 0.006577759203440558), ('study', 0.005386344955513649)]"
9,8,176,Latin America & Caribbean,"['agriculture', 'horticulture', 'agricultural', 'farm', 'worker', 'rural', 'pest', 'almond', 'support', 'mushroom']","[('agriculture', 0.3563898145923354), ('horticulture', 0.050622437876812754), ('agricultural', 0.041445789152096416), ('farm', 0.0339900246810942), ('worker', 0.030667800157776603), ('rural', 0.030667800157776603), ('pest', 0.029489523822874866), ('almond', 0.029489523822874866), ('support', 0.02492860726298225), ('mushroom', 0.022886694971045778)]"
0,-1,3429,Asia & Oceania,"['beverage', 'food', 'pool', 'away', 'swimming', 'consult', 'field', 'drink', 'restaurant', '']","[('beverage', 0.14285338040258458), ('food', 0.0459222602395711), ('pool', 0.008884099887260794), ('away', 0.005672235520130486), ('swimming', 0.004442049943630397), ('consult', 0.0031757782213491714), ('field', 0.001943803709139136), ('drink', 0.001502901881835294), ('restaurant', 0.0002969973688348518), ('', 1e-05)]"
1,0,302,Asia & Oceania,"['restaurant', 'restaurantur', 'dining', 'shallal', 'sasimi', 'reverse', 'kabsa', 'fusion', 'chain', 'satay']","[('restaurant', 0.14350844782473943), ('restaurantur', 0.025003430514546492), ('dining', 0.018003932299009002), ('shallal', 0.014469501453437068), ('sasimi', 0.014469501453437068), ('reverse', 0.014469501453437068), ('kabsa', 0.014469501453437068), ('fusion', 0.014469501453437068), ('chain', 0.012968021986255669), ('satay', 0.011358116746013917)]"
2,1,281,Asia & Oceania,"['grocery', 'costmar', 'truck', 'deliver', 'house', 'people', 'food', '', '', '']","[('grocery', 0.19482797309976205), ('costmar', 0.015364274202941305), ('truck', 0.010822097178800429), ('deliver', 0.006140000404844227), ('house', 0.0015389302546967292), ('people', 0.000837069276016238), ('food', 0.0007202243699978936), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
3,2,251,Asia & Oceania,"['grocery', 'store', 'metireal', 'fresh', 'home', 'food', '', '', '', '']","[('grocery', 0.09753436806171502), ('store', 0.06656748448487082), ('metireal', 0.013685246632112567), ('fresh', 0.003525336463856384), ('home', 0.001157169877638405), ('food', 0.0010071430214604693), ('', 1e-05), ('', 1e-05), ('', 1e-05), ('', 1e-05)]"
4,3,182,Asia & Oceania,"['trading', 'retail', 'petty', 'lacal', 'auto', 'interested', 'trader', 'showroom', 'buyer', 'trade']","[('trading', 0.08491982014056648), ('retail', 0.04270291900887445), ('petty', 0.016237479122988865), ('lacal', 0.016237479122988865), ('auto', 0.009728603108306066), ('interested', 0.008228342835825473), ('trader', 0.007617603968690928), ('showroom', 0.007120952797582278), ('buyer', 0.006974449197329657), ('trade', 0.0042591652787248345)]"
5,4,149,Asia & Oceania,"['sure', 'properly', 'haven', 'different', 'interested', 'start', 'stuff', 'plan', 'sweet', 'want']","[('sure', 0.33926156444477157), ('properly', 0.24774892152242856), ('haven', 0.2301631150687713), ('different', 0.16916877567506708), ('interested', 0.15993841387135763), ('start', 0.13469485993378466), ('stuff', 0.10874590008521681), ('plan', 0.08725315850407846), ('sweet', 0.06259053376340387), ('want', 0.06172498497368356)]"
6,5,126,Asia & Oceania,"['accept', 'service', 'payment', 'jatan', 'buldung', 'teck', 'kharak', 'freepass', 'megaline', 'halal']","[('accept', 0.046834268956753064), ('service', 0.04103882557101522), ('payment', 0.03922488987145918), ('jatan', 0.03412064869763201), ('buldung', 0.03412064869763201), ('teck', 0.03412064869763201), ('kharak', 0.03412064869763201), ('freepass', 0.03412064869763201), ('megaline', 0.03412064869763201), ('halal', 0.03412064869763201)]"
7,6,118,Asia & Oceania,"['nguyen', 'thai', 'province', 'hanoi', 'mekong', 'vietnam', 'delta', 'applicant', 'city', 'household']","[('nguyen', 0.10613904945842588), ('thai', 0.10272580965352338), ('province', 0.04850474586644972), ('hanoi', 0.0331623068341153), ('mekong', 0.027697485268563596), ('vietnam', 0.027697485268563596), ('delta', 0.027697485268563596), ('applicant', 0.02182453339294538), ('city', 0.017423884114492916), ('household', 0.011493502875431985)]"
8,7,115,Asia & Oceania,"['sewing', 'embroidery', 'curtain', 'knit', 'operator', 'tailor', 'directory', 'indoor', 'woman', 'needlework']","[('sewing', 0.1397029928865202), ('embroidery', 0.05132723513896208), ('curtain', 0.03609015411707192), ('knit', 0.032062815748113135), ('operator', 0.02839471620991873), ('tailor', 0.023901587338862086), ('directory', 0.023090397994764898), ('indoor', 0.02153573006491427), ('woman', 0.01734218188260589), ('needlework', 0.017010131090792836)]"
9,8,110,Asia & Oceania,"['restorant', 'cafe', 'resto', 'restorane', 'sallon', 'butcehry', 'single', 'student', 'people', '']","[('restorant', 0.446852677815293), ('cafe', 0.29511142350701514), ('resto', 0.0708194200211604), ('restorane', 0.05717282804363736), ('sallon', 0.024278153881007392), ('butcehry', 0.024278153881007392), ('single', 0.0177048550052901), ('student', 0.002687141435386548), ('people', 0.0010382878519816798), ('', 1e-05)]"
